Temperature,Conductivity,PH,Turbidity,ODO,BGA
17.3,1928,8.35,51.22,8.14,0
17.35,1930,8.35,52.76,8.14,0
17.49,1930,8.36,53.09,8.16,0
17.53,1929,8.36,56.67,8.17,0
17.49,1927,8.36,61.95,8.17,0
17.43,1925,8.36,66.52,8.17,0
17.29,1923,8.36,61.26,8.17,0
17.23,1920,8.36,63.61,8.17,0
17.18,1918,8.36,63.52,8.17,0
17.16,1918,8.36,63.64,8.15,0
17.13,1918,8.36,62.48,8.15,0
17.11,1917,8.36,58.67,8.14,0
17.09,1917,8.36,60.73,8.13,0
17.1,1917,8.36,61.18,8.12,0
17.07,1916,8.36,56.44,8.12,0
17.02,1915,8.36,56.23,8.11,0
16.95,1915,8.36,55.13,8.1,0
16.85,1914,8.36,53.82,8.11,0
16.83,1913,8.36,55.45,8.1,0
16.88,1913,8.36,53.5,8.09,0
16.9,1913,8.36,52.37,8.09,0
16.89,1913,8.36,52.45,8.08,0
16.83,1915,8.36,50.73,8.07,0
16.79,1915,8.36,50.59,8.07,0
16.74,1915,8.36,49.51,8.06,0
16.72,1916,8.36,52.35,8.06,0
16.7,1918,8.36,49.75,8.05,0
16.71,1920,8.36,52.32,8.05,0
16.69,1922,8.36,51.43,8.04,0
16.63,1923,8.36,52.91,8.05,0
16.58,1923,8.36,50.98,8.05,0
16.56,1924,8.36,49.8,8.07,0
16.57,1925,8.36,48.24,8.07,0
16.63,1927,8.36,47.7,8.06,0
16.61,1927,8.36,47.6,8.05,0
16.56,1928,8.36,46.16,8.05,0
16.56,1930,8.36,45.65,8.03,0
16.49,1935,8.36,44.76,8.03,0
16.4,1935,8.36,45.63,8.02,0
16.4,1933,8.36,44.74,8.01,0
16.4,1932,8.36,44.53,8,0
16.39,1933,8.36,43.83,8,0
16.36,1933,8.36,42.6,8.01,0
16.34,1935,8.36,41.83,8.01,0
16.32,1938,8.36,41.66,8.01,0
16.3,1938,8.36,40.61,8.02,0
16.28,1940,8.36,39.71,8.02,0
16.28,1942,8.36,39.8,8.02,0
16.27,1941,8.36,39.94,8.02,0
16.27,1940,8.36,39.18,8.02,0
16.29,1941,8.36,38.24,8.04,0
16.29,1942,8.36,38.23,8.05,0
16.3,1941,8.36,37.23,8.05,0
16.31,1939,8.36,37.87,8.04,0
