Temperature,Conductivity,PH,Turbidity,ODO,BGA
23.18,1908,8.45,24.06,8.81,0
23.25,1914,8.43,22.91,8.54,0
23.02,1918,8.41,22.67,8.17,0
23.53,1923,8.43,21.85,8.51,0
24.51,1939,8.43,18.94,8.48,0
24.58,1939,8.43,19.32,8.38,0
24.84,1951,8.44,17.64,8.41,0
24.8,1952,8.43,17.26,8.39,0
24.52,1950,8.43,18.19,8.33,0
24.66,1963,8.43,18.09,8.3,0
24.54,1961,8.43,17.46,8.26,0
24.36,1958,8.42,18.47,8.2,0
24.28,1960,8.42,20.58,8.11,0
24.24,1962,8.42,17.94,8.09,0
24.21,1965,8.42,16.08,8.09,0
24.15,1964,8.42,18.92,8.08,0
24.1,1963,8.42,18.25,8.04,0
23.97,1962,8.41,18.79,8,0
23.92,1961,8.41,17.14,7.97,0
23.93,1967,8.41,19.04,7.92,0
23.9,1969,8.4,42.34,7.88,0
23.84,1968,8.4,17.34,7.84,0
23.8,1969,8.4,18.17,7.8,0
23.76,1968,8.4,18.57,7.77,0
23.66,1964,8.39,16.5,7.72,0
23.63,1965,8.39,17.32,7.68,0
23.59,1963,8.39,17.84,7.67,0
23.56,1962,8.39,17.19,7.63,0
23.52,1961,8.39,16.32,7.62,0
23.48,1965,8.38,17.37,7.56,0
23.41,1967,8.38,17.76,7.49,0
23.37,1975,8.38,16.47,7.46,0
23.31,1973,8.38,17.28,7.39,0
23.25,1975,8.38,17.99,7.37,0
23.23,1974,8.37,17.67,7.3,0
23.17,1974,8.37,17.48,7.26,0
23.13,1974,8.37,17.16,7.24,0
23.09,1972,8.36,17.52,7.21,0
23.08,1969,8.36,16.65,7.2,0
23.03,1970,8.37,17.64,7.19,0
23.02,1967,8.37,18.53,7.18,0
22.99,1964,8.37,17.86,7.16,0
22.96,1963,8.36,17.51,7.17,0
22.93,1958,8.36,17.32,7.2,0
22.92,1953,8.36,17.26,7.22,0
22.9,1951,8.37,16.41,7.26,0
22.89,1944,8.36,17.05,7.28,0
22.87,1941,8.36,17.33,7.31,0
22.88,1938,8.37,17.2,7.35,0
22.88,1936,8.37,17.24,7.39,0
22.87,1936,8.37,17.28,7.41,0
22.88,1936,8.37,17.24,7.44,0
22.89,1935,8.37,17.14,7.47,0
22.91,1934,8.38,16.8,7.54,0
22.91,1930,8.38,17.85,7.61,0
22.91,1926,8.38,18.43,7.72,0
22.91,1921,8.38,17.94,7.8,0
22.93,1920,8.38,16.74,7.87,0
22.92,1918,8.38,18.07,7.92,0
23.06,1924,8.37,17.67,7.81,0
23.38,1928,8.38,18.14,8.02,0
23.4,1925,8.39,18.25,8.13,0
23.48,1923,8.39,18.32,8.17,0
23.47,1921,8.39,20.56,8.25,0
23.53,1922,8.4,17.86,8.41,0
23.49,1920,8.41,20.5,8.53,0
23.48,1923,8.4,19.41,8.57,0
23.3,1933,8.39,18.79,8.4,0
23.48,1942,8.4,17.46,8.57,0
23.59,1945,8.41,17.87,8.69,0
23.6,1948,8.41,17.58,8.87,0
24.87,1937,8.4,16.95,8.54,0
24.16,1938,8.41,18.51,8.95,0
24.48,1939,8.41,18.78,8.84,0
24.48,1939,8.41,17.51,8.8,0
24.36,1945,8.41,19.27,8.74,0
24.22,1942,8.4,18.14,8.65,0
24.55,1944,8.4,17.37,8.65,0
24.45,1943,8.4,17.6,8.68,0
24.14,1940,8.4,17.11,8.67,0
23.99,1935,8.4,18.12,8.61,0
23.7,1936,8.37,20.85,8.08,0
23.75,1938,8.38,19.99,8.08,0
23.61,1936,8.37,21.21,7.92,0
23.52,1935,8.37,21.93,7.83,0
23.46,1935,8.36,22.13,7.83,0
23.48,1934,8.36,22.1,7.86,0
23.49,1933,8.36,22.21,7.91,0
23.49,1933,8.36,21.84,7.89,0
23.48,1931,8.37,22.89,7.94,0
23.48,1928,8.37,21.89,8.04,0
23.48,1927,8.37,21.8,8.02,0
23.49,1927,8.38,21.82,8.11,0
23.48,1927,8.38,21.22,8.11,0
23.46,1926,8.37,21.72,8.04,0
23.39,1926,8.37,20.84,8,0
23.35,1926,8.36,22.23,7.89,0
23.29,1926,8.37,22.49,7.82,0
23.26,1926,8.36,22.82,7.76,0
23.2,1926,8.36,23.53,7.69,0
23.14,1926,8.36,23.87,7.59,0
23.08,1927,8.36,24.48,7.47,0
23.05,1927,8.35,25.23,7.33,0
23.03,1928,8.34,25.48,7.32,0
23,1928,8.34,26.36,7.31,0
22.97,1928,8.34,27.37,7.3,0
22.93,1930,8.34,30.66,7.29,0
22.9,1931,8.34,26.77,7.27,0
22.87,1932,8.34,30.7,7.26,0
22.83,1934,8.34,28.88,7.24,0
22.81,1936,8.34,31.86,7.22,0
22.77,1938,8.34,28.61,7.2,0
22.76,1940,8.34,30.8,7.19,0
22.73,1942,8.34,26.39,7.17,0
22.71,1944,8.33,28.4,7.15,0
22.68,1947,8.33,30.63,7.13,0
22.65,1950,8.33,31.49,7.12,0
22.63,1954,8.33,32.08,7.09,0
22.6,1957,8.33,34.35,7.05,0
22.58,1959,8.33,32.17,7.04,0
22.56,1960,8.33,38.28,7.02,0
22.53,1962,8.32,32.74,7.01,0
22.51,1964,8.32,32.82,6.98,0
22.48,1965,8.32,33.69,6.97,0
22.48,1968,8.32,34.9,6.94,0
22.45,1968,8.32,33.98,6.93,0
22.44,1970,8.32,34.75,6.9,0
22.42,1976,8.32,35.94,6.87,0
22.42,1983,8.32,36.23,6.83,0
22.42,1989,8.32,35.91,6.8,0
22.42,1993,8.32,36.79,6.78,0
22.42,1996,8.32,37.15,6.76,0
22.41,2000,8.32,40.46,6.77,0
22.42,2005,8.32,36.62,6.77,0
22.43,2020,8.33,39.67,6.8,0
22.38,2027,8.33,35.15,6.83,0
22.44,2032,8.33,36.82,6.8,0
22.39,2043,8.34,53.25,6.85,0
22.42,2046,8.34,34.16,6.83,0
22.39,2054,8.34,34.81,6.85,0
22.39,2059,8.34,35.61,6.85,0
22.41,2064,8.34,36.32,6.85,0
22.41,2067,8.34,35.27,6.87,0
22.42,2067,8.34,37.81,6.86,0
22.45,2065,8.34,37.43,6.87,0
22.46,2063,8.34,37.23,6.84,0
22.48,2066,8.34,45.53,6.89,0
22.53,2065,8.34,32.53,6.9,0
22.6,2061,8.34,34.46,6.92,0
22.63,2057,8.34,35.28,6.91,0
22.74,2060,8.35,33.81,6.96,0
22.86,2061,8.35,32.08,7.02,0
22.88,2061,8.35,31.58,7.04,0
23.06,2064,8.35,30.42,7.12,0
22.99,2055,8.35,29.94,7.14,0
23.21,2055,8.36,29.48,7.19,0
23.32,2058,8.36,26.73,7.24,0
23.21,2044,8.36,27.86,7.25,0
23.28,2042,8.35,28.55,7.3,0
23.33,2038,8.36,29.39,7.37,0
23.76,2051,8.36,26.89,7.44,0
23.83,2056,8.37,26.81,7.5,0
23.82,2050,8.37,34.44,7.59,0
23.85,2039,8.37,24.36,7.64,0
23.89,2033,8.37,27.75,7.69,0
23.7,2005,8.36,26.01,7.67,0
24.2,2022,8.37,24.11,7.73,0
24.19,2019,8.37,25,7.83,0
23.91,1992,8.36,25.31,7.8,0
24.57,2024,8.38,23.38,7.95,0
24.71,2031,8.38,24.06,7.99,0
24.63,2018,8.38,22.98,8.01,0
24.78,2022,8.39,23.06,8.05,0
24.22,1989,8.37,22.34,7.89,0
24.92,2026,8.39,23.39,8.13,0
25.26,2045,8.4,19.35,8.26,0
25.25,2039,8.4,24.4,8.27,0
24.81,2012,8.39,24.07,8.24,0
25.13,2039,8.4,22.48,8.39,0
25.73,2077,8.42,22.87,8.65,0
24.81,2018,8.39,21.18,8.34,0
25.26,2037,8.41,21.55,8.57,0
24.29,1972,8.38,29.79,8.14,0
24.86,2006,8.39,23.13,8.39,0
25.1,2023,8.41,20.24,8.53,0
25.08,2016,8.4,26.96,8.45,0
24.59,1985,8.38,23.94,8.24,0
24.61,1982,8.38,23.93,8.28,0
25.26,2039,8.42,21.56,8.64,0
24.91,2015,8.39,22.49,8.39,0
25.39,2053,8.43,19.73,8.76,0
25.31,2048,8.43,17.81,8.73,0
25.06,2028,8.4,20.38,8.47,0
25.15,2040,8.42,19.86,8.53,0
25.28,2062,8.44,18.66,8.73,0
25.16,2051,8.43,18.28,8.61,0
25.17,2061,8.43,17.93,8.65,0
24.69,2028,8.4,17.7,8.24,0
25.04,2060,8.43,17.93,8.57,1
24.94,2051,8.42,19.31,8.47,0
24.82,2049,8.41,19.09,8.4,0
24.58,2037,8.4,19.47,8.21,0
24.6,2047,8.41,18.83,8.25,0
24.47,2043,8.4,19.49,8.16,0
24.39,2038,8.4,18.87,8.07,0
24.31,2033,8.39,19.47,8.02,0
24.24,2030,8.39,19.57,8.01,0
24.14,2027,8.39,19.11,7.93,0
24.06,2023,8.38,20.3,7.88,0
23.95,2017,8.37,20.6,7.79,0
23.82,2008,8.36,20.66,7.67,0
23.76,2004,8.35,20.84,7.59,0
23.67,2000,8.35,21.11,7.52,0
23.58,1997,8.34,21.21,7.45,0
23.46,1991,8.34,20.7,7.34,0
23.43,1987,8.33,20.72,7.28,0
23.42,1992,8.33,21.07,7.28,0
23.45,2000,8.34,20.97,7.29,0
23.44,1997,8.34,20.11,7.26,0
23.42,1995,8.34,20.87,7.21,0
23.4,1999,8.34,20.18,7.23,0
23.33,1997,8.33,21.15,7.18,0
23.3,2000,8.33,21.6,7.16,0
23.27,2005,8.34,19.31,7.16,0
23.25,2007,8.33,20.27,7.16,0
23.22,2003,8.33,20.75,7.14,0
23.2,2001,8.33,20.84,7.12,0
23.15,2002,8.33,20.68,7.09,0
23.12,2014,8.33,20.94,7.09,0
23.18,2012,8.33,17.99,7.07,0
23.21,2010,8.33,21.67,7.06,0
23.22,2008,8.34,19.15,7.1,0
23.22,2005,8.33,18.59,7.1,0
23.19,2004,8.33,19.52,7.11,0
23.21,2000,8.33,22.64,7.1,0
23.22,2004,8.34,19.97,7.14,0
23.22,2006,8.34,17.25,7.12,0
23.2,2006,8.34,18.11,7.12,0
23.21,2008,8.34,19.47,7.15,0
23.22,2011,8.34,19.7,7.14,0
23.27,2018,8.35,17.96,7.22,0
23.33,2026,8.36,17,7.36,0
23.4,2029,8.37,18.62,7.46,0
23.48,2034,8.37,18.15,7.61,0
23.53,2044,8.38,21.49,7.73,0
23.58,2060,8.4,18.25,7.92,1
23.66,2065,8.41,15.78,8.11,1
23.71,2070,8.42,19.42,8.37,1
