"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT11"
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-06",,,,,,"0.00","0.0","0.0",,"101","61","101",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-07",,,,,,"0.00","0.0","0.0",,"102","68","98",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-08",,,,,,"0.00","0.0","0.0",,"100","61","93",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-09",,,,,,"0.00","0.0","0.0",,"97","66","97",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-10",,,,,,"0.00","0.0","0.0",,"99","68","91",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-11",,,,,,"0.00","0.0","0.0",,"99","65","84",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-12",,,,,,"0.00","0.0","0.0",,"92","63","85",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-13",,,,,,"0.00","0.0","0.0",,"92","59","83",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-14",,,,,,"0.00","0.0","0.0",,"92","58","89",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-15",,,,,,"0.00","0.0","0.0",,"97","62","97",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-16",,,,,,"0.00","0.0","0.0",,"98","63","94",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-17",,,,,,"0.00","0.0","0.0",,"98","63","97",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-18",,,,,,"0.03","0.0","0.0",,"98","63","98",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-19",,,,,,"0.39","0.0","0.0",,"98","66","71",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-20",,,,,,"0.00","0.0","0.0",,"93","65","87",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-21",,,,,,"0.00","0.0","0.0",,"94","65","92",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-22",,,,,,"0.00","0.0","0.0",,"95","62","88",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-23",,,,,,"0.00","0.0","0.0",,"94","63","92",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-24",,,,,,"0.00","0.0","0.0",,"95","65","94",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-25",,,,,,"0.34","0.0","0.0",,"96","64","75",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-26",,,,,,"0.20","0.0","0.0",,"86","62","86",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-27",,,,,,"0.00","0.0","0.0",,"90","62","89",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-28",,,,,,"0.01","0.0","0.0",,"90","64","82",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-29",,,,,,"0.00","0.0","0.0",,"90","59","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-30",,,,,,"0.00","0.0","0.0",,"91","58","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-07-31",,,,,,"0.00","0.0","0.0",,"94","64","94",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-01",,,,,,"0.00","0.0","0.0",,"96","62","95",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-02",,,,,,"0.00","0.0","0.0",,"96","65","93",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-03",,,,,,"0.00","0.0","0.0",,"96","66","93",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-04",,,,,,"0.00","0.0","0.0",,"93","62","88",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-05",,,,,,"0.00","0.0","0.0",,"91","62","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-06",,,,,,"0.00","0.0","0.0",,"92","61","84",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-07",,,,,,"0.01","0.0","0.0",,"84","56","79",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-08",,,,,,"0.00","0.0","0.0",,"84","60","82",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-09",,,,,,"0.00","0.0","0.0",,"86","57","86",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-10",,,,,,"0.00","0.0","0.0",,"89","57","87",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-11",,,,,,"0.00","0.0","0.0",,"92","64","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-12",,,,,,"0.00","0.0","0.0",,"93","59","91",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-13",,,,,,"0.00","0.0","0.0",,"93","59","89",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-14",,,,,,"0.00","0.0","0.0",,"92","66","84",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-15",,,,,,"0.00","0.0","0.0",,"84","59","74",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-16",,,,,,"0.00","0.0","0.0",,"86","50","84",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-17",,,,,,"0.00","0.0","0.0",,"90","54","88",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-18",,,,,,"0.00","0.0","0.0",,"92","59","90",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-19",,,,,,"0.00","0.0","0.0",,"92","58","91",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-20",,,,,,"0.00","0.0","0.0",,"93","60","92",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-21",,,,,,"0.00","0.0","0.0",,"94","61","86",,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-08-22",,,,,,"0.05","0.0","0.0",,"89","61","68",,,,,,,
