STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-04,,7.6,,18.3,33.9,0,0,0,35.6,15.6,34.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-05,,8.1,,18.3,34.4,0,0,0,34.4,17.8,30,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-06,,7.6,,17.8,35,0,0,0,34.4,14.4,33.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-07,,8.9,,17.8,35,0,0,0,35.6,16.7,35,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-08,,9.4,,16.7,33.9,0,0,0,35.6,13.3,32.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-09,,11.4,,15.6,32.2,0,0,0,33.9,17.2,30,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-10,,7.6,,15,32.8,0,0,0,31.7,13.3,26.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-11,,7.6,,16.1,32.2,0,0,0,31.1,13.9,28.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-12,,6.6,,14.4,28.9,0,0,0,31.1,13.3,19.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-13,,2.8,,11.7,25,2,0,0,22.2,8.9,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-14,,6.1,,13.3,32.2,0,0,0,27.8,9.4,27.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-15,,7.6,,15.6,32.8,0,0,0,32.8,11.7,31.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-16,,8.4,,17.2,35,0,0,0,33.3,13.9,32.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-17,,7.6,,18.9,35,0,0,0,33.3,14.4,27.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-18,,7.1,,17.2,33.9,0,0,0,30.6,18.3,29.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-19,,6.9,,17.8,36.1,0,0,0,35,16.7,35,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-20,,8.6,,20,36.1,0,0,0,37.8,18.3,33.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-21,,7.6,,18.9,35.6,0,0,0,38.3,16.7,37.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-22,,9.9,,20.6,35,0,0,0,37.2,18.9,31.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-23,,8.4,,16.1,33.9,0,0,0,31.7,12.8,30.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-24,,9.1,,15.6,34.4,0,0,0,32.8,12.2,32.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-25,,7.6,,16.7,35.6,0,0,0,35,13.3,35,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-26,,7.6,,18.3,35,0,0,0,36.7,15.6,35.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-27,,8.4,,17.8,34.4,0,0,0,36.1,16.7,32.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-28,,8.6,,17.2,33.9,0,0,0,33.9,14.4,31.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-29,,7.6,,17.2,33.3,0,0,0,31.7,14.4,29.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-30,,8.6,,15.6,33.9,0,0,0,30.6,12.8,29.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-01,,8.9,,16.7,35,0,0,0,35,13.3,34.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-02,,7.6,,19.4,35,0,0,0,36.1,17.2,32.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-03,,8.1,,18.9,35.6,0,0,0,36.7,17.8,36.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-04,,9.1,,19.4,36.7,0,0,0,38.3,17.2,37.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-05,,9.1,,20,36.7,0,0,0,37.8,18.3,34.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-06,,7.6,,18.9,36.7,0,0,0,40,18.3,38.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-07,,8.9,,21.7,36.7,0,0,0,38.9,21.1,37.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-08,,9.4,,20.6,37.2,0,0,0,38.9,18.9,36.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-09,,8.9,,21.1,37.2,0,0,0,38.3,20,33.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-10,,7.6,,22.2,35,0,0,0,33.9,21.7,32.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-11,,7.6,,21.1,34.4,0,0,0,33.9,21.1,29.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-12,,6.9,,19.4,34.4,0,0,0,35,18.3,32.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-13,,7.9,,20,36.1,0,0,0,36.1,17.2,31.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-14,,7.6,,20,35,0,0,0,35.6,17.8,34.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-07-15,,8.6,,20.6,37.2,0,0,0,37.8,18.3,37.2,,
