STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/29/2017,,7.6,,17.2,33.3,0,0,0,,31.7,14.4,29.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/30/2017,,8.6,,15.6,33.9,0,0,0,,30.6,12.8,29.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/1/2017,,8.9,,16.7,35,0,0,0,,35,13.3,34.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/2/2017,,7.6,,19.4,35,0,0,0,,36.1,17.2,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/3/2017,,8.1,,18.9,35.6,0,0,0,,36.7,17.8,36.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/4/2017,,9.1,,19.4,36.7,0,0,0,,38.3,17.2,37.8,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/5/2017,,9.1,,20,36.7,0,0,0,,37.8,18.3,34.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/6/2017,,7.6,,18.9,36.7,0,0,0,,40,18.3,38.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/7/2017,,8.9,,21.7,36.7,0,0,0,,38.9,21.1,37.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/8/2017,,9.4,,20.6,37.2,0,0,0,,38.9,18.9,36.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/9/2017,,8.9,,21.1,37.2,0,0,0,,38.3,20,33.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/10/2017,,7.6,,22.2,35,0,0,0,,33.9,21.7,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/11/2017,,7.6,,21.1,34.4,0,0,0,,33.9,21.1,29.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/12/2017,,6.9,,19.4,34.4,0,0,0,,35,18.3,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/13/2017,,7.9,,20,36.1,0,0,0,,36.1,17.2,31.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/14/2017,,7.6,,20,35,0,0,0,,35.6,17.8,34.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/15/2017,,8.6,,20.6,37.2,0,0,0,,37.8,18.3,37.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/16/2017,,9.1,,21.7,36.7,0,0,0,,37.8,20,33.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/17/2017,,7.4,,20,36.7,0,0,0,,37.8,18.9,35,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/18/2017,,7.6,,20.6,37.2,0,0,0,,38.3,18.9,36.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/19/2017,,7.4,,22.8,36.1,0.3,0,0,,36.7,22.2,26.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/20/2017,,3.8,,20.6,33.9,0.8,0,0,,34.4,18.3,32.8,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/21/2017,,7.6,,21.7,36.7,0,0,0,,35.6,20,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/22/2017,,6.6,,21.1,35,0,0,0,,35.6,18.9,31.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/23/2017,,6.1,,21.1,33.9,0,0,0,,35.6,18.3,30,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/24/2017,,8.4,,20.6,35.6,0,0,0,,36.7,19.4,35,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/25/2017,,3.3,,22.2,35.6,4.1,0,0,,35.6,18.9,26.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/26/2017,,7.9,,20.6,36.1,1.8,0,0,,32.2,17.8,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/27/2017,,4.8,,20.6,36.1,0.3,0,0,,33.9,17.2,33.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/28/2017,,6.1,,21.7,35,1.3,0,0,,33.3,18.9,30.6,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,7/29/2017,,8.9,,19.4,35.6,0,0,0,,35.6,16.7,34.4,,,,,,,
